Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
ODI # 66,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979"
ODI # 67,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979"
ODI # 68,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979"
ODI # 69,New Zealand,West Indies,West Indies,32 runs,Nottingham,16-Jun-79
ODI # 70,Australia,Canada,Australia,7 wickets,Birmingham,16-Jun-79
ODI # 71,England,Pakistan,England,14 runs,Leeds,16-Jun-79
ODI # 72,England,New Zealand,England,9 runs,Manchester,20-Jun-79
ODI # 73,Pakistan,West Indies,West Indies,43 runs,The Oval,20-Jun-79
ODI # 74,England,West Indies,West Indies,92 runs,Lord's,23-Jun-79
ODI # 75,Australia,West Indies,Australia,5 wickets,Sydney,27-Nov-79
ODI # 76,England,West Indies,England,2 runs,Sydney,28-Nov-79
ODI # 77,Australia,England,England,3 wickets,Melbourne,08-Dec-79
ODI # 78,Australia,West Indies,West Indies,80 runs,Melbourne,09-Dec-79
ODI # 79,Australia,England,England,72 runs,Sydney,11-Dec-79
ODI # 80,Australia,West Indies,Australia,7 runs,Sydney,21-Dec-79
ODI # 81,England,West Indies,West Indies,9 wickets,Brisbane,23-Dec-79
ODI # 82,Australia,England,England,4 wickets,Sydney,26-Dec-79
ODI # 83,Australia,England,England,2 wickets,Sydney,14-Jan-80
ODI # 84,England,West Indies,West Indies,107 runs,Adelaide,16-Jan-80
ODI # 85,Australia,West Indies,Australia,9 runs,Sydney,18-Jan-80
ODI # 86,England,West Indies,West Indies,2 runs,Melbourne,20-Jan-80
ODI # 87,England,West Indies,West Indies,8 wickets,Sydney,22-Jan-80
ODI # 88,New Zealand,West Indies,New Zealand,1 wicket,Christchurch,06-Feb-80
ODI # 89,England,West Indies,West Indies,24 runs,Leeds,"May 28-29, 1980"
ODI # 90,England,West Indies,England,3 wickets,Lord's,30-May-80
ODI # 91,England,Australia,England,23 runs,The Oval,20-Aug-80
ODI # 92,England,Australia,England,47 runs,Birmingham,22-Aug-80
ODI # 93,Pakistan,West Indies,West Indies,4 wickets,Karachi,21-Nov-80
ODI # 94,Australia,New Zealand,New Zealand,3 wickets,Adelaide,23-Nov-80
ODI # 95,Australia,New Zealand,Australia,94 runs,Sydney,25-Nov-80
ODI # 96,Pakistan,West Indies,West Indies,7 wickets,Sialkot,05-Dec-80
ODI # 97,Australia,India,India,66 runs,Melbourne,06-Dec-80
ODI # 98,Australia,New Zealand,Australia,4 wickets,Melbourne,07-Dec-80
ODI # 99,India,New Zealand,India,5 runs,Perth,09-Dec-80
ODI # 100,Australia,India,Australia,9 wickets,Sydney,18-Dec-80
ODI # 101,Pakistan,West Indies,West Indies,7 runs,Lahore,19-Dec-80
ODI # 102,India,New Zealand,New Zealand,3 wickets,Brisbane,21-Dec-80
ODI # 103,India,New Zealand,India,6 runs,Adelaide,23-Dec-80
ODI # 104,Australia,India,Australia,9 wickets,Sydney,08-Jan-81
ODI # 105,India,New Zealand,New Zealand,10 wickets,Melbourne,10-Jan-81
ODI # 106,Australia,India,Australia,7 wickets,Melbourne,11-Jan-81
ODI # 107,Australia,New Zealand,New Zealand,1 run,Sydney,13-Jan-81
ODI # 108,Australia,India,Australia,27 runs,Sydney,15-Jan-81
ODI # 109,India,New Zealand,New Zealand,22 runs,Brisbane,18-Jan-81
ODI # 110,Australia,New Zealand,no result,,Sydney,21-Jan-81
ODI # 111,Australia,New Zealand,New Zealand,78 runs,Sydney,29-Jan-81
ODI # 112,Australia,New Zealand,Australia,7 wickets,Melbourne,31-Jan-81
ODI # 113,Australia,New Zealand,Australia,6 runs,Melbourne,01-Feb-81
ODI # 114,Australia,New Zealand,Australia,6 wickets,Sydney,03-Feb-81
ODI # 115,West Indies,England,West Indies,2 runs,Kingstown,04-Feb-81
ODI # 116,New Zealand,India,New Zealand,78 runs,Auckland,14-Feb-81
ODI # 117,New Zealand,India,New Zealand,57 runs,Hamilton,15-Feb-81
ODI # 118,West Indies,England,West Indies,6 wickets,Albion,26-Feb-81
ODI # 119,England,Australia,England,6 wickets,Lord's,04-Jun-81
ODI # 120,England,Australia,Australia,2 runs,Birmingham,06-Jun-81
ODI # 121,England,Australia,Australia,71 runs,Leeds,08-Jun-81
ODI # 122,Pakistan,West Indies,West Indies,18 runs,Melbourne,21-Nov-81
ODI # 123,Australia,Pakistan,Pakistan,4 wickets,Melbourne,22-Nov-81
ODI # 124,Australia,West Indies,Australia,7 wickets,Sydney,24-Nov-81
ODI # 125,India,England,England,5 wickets,Ahmedabad,25-Nov-81
ODI # 126,Pakistan,West Indies,Pakistan,8 runs,Adelaide,05-Dec-81
ODI # 127,Australia,Pakistan,Australia,38 runs,Adelaide,06-Dec-81
ODI # 128,Australia,Pakistan,Pakistan,6 wickets,Sydney,17-Dec-81
ODI # 129,Pakistan,West Indies,West Indies,7 wickets,Perth,19-Dec-81
ODI # 130,Australia,West Indies,West Indies,8 wickets,Perth,20-Dec-81
ODI # 131,India,England,India,6 wickets,Jalandhar,20-Dec-81
ODI # 132,Australia,Pakistan,Pakistan,25 runs,Melbourne,09-Jan-82
ODI # 133,Australia,West Indies,West Indies,5 wickets,Melbourne,10-Jan-82
ODI # 134,Pakistan,West Indies,West Indies,7 wickets,Sydney,12-Jan-82
ODI # 135,Australia,Pakistan,Australia,76 runs,Sydney,14-Jan-82
ODI # 136,Pakistan,West Indies,West Indies,1 wicket,Brisbane,16-Jan-82
ODI # 137,Australia,West Indies,West Indies,5 wickets,Brisbane,17-Jan-82
ODI # 138,Australia,West Indies,Australia,5 runs,Sydney,19-Jan-82
ODI # 139,Australia,West Indies,West Indies,86 runs,Melbourne,23-Jan-82
ODI # 140,Australia,West Indies,West Indies,128 runs,Melbourne,24-Jan-82
ODI # 141,Australia,West Indies,Australia,46 runs,Sydney,26-Jan-82
ODI # 142,Australia,West Indies,West Indies,18 runs,Sydney,27-Jan-82
ODI # 143,India,England,India,5 wickets,Cuttack,27-Jan-82
ODI # 144,New Zealand,Australia,New Zealand,46 runs,Auckland,13-Feb-82
ODI # 145,Sri Lanka,England,England,5 runs,Colombo (SSC),13-Feb-82
ODI # 146,Sri Lanka,England,Sri Lanka,3 runs,Colombo (SSC),14-Feb-82
ODI # 147,New Zealand,Australia,Australia,6 wickets,Dunedin,17-Feb-82
ODI # 148,New Zealand,Australia,Australia,8 wickets,Wellington,20-Feb-82
ODI # 149,Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,12-Mar-82
ODI # 150,Pakistan,Sri Lanka,Sri Lanka,30 runs,Lahore,29-Mar-82
ODI # 151,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,31-Mar-82
ODI # 152,England,India,England,9 wickets,Leeds,02-Jun-82
ODI # 153,England,India,England,114 runs,The Oval,04-Jun-82
ODI # 154,England,Pakistan,England,7 wickets,Nottingham,17-Jul-82
ODI # 155,England,Pakistan,England,73 runs,Manchester,19-Jul-82
ODI # 156,India,Sri Lanka,India,78 runs,Amritsar,12-Sep-82
ODI # 157,India,Sri Lanka,India,6 wickets,Delhi,15-Sep-82
ODI # 158,Pakistan,Australia,Pakistan,59 runs,Hyderabad (Sind),20-Sep-82
ODI # 159,India,Sri Lanka,India,6 wickets,Bengaluru,26-Sep-82
ODI # 160,Pakistan,Australia,Pakistan,28 runs,Lahore,08-Oct-82
ODI # 161,Pakistan,Australia,no result,,Karachi,22-Oct-82
ODI # 162,Pakistan,India,Pakistan,14 runs,Gujranwala,03-Dec-82
ODI # 163,Pakistan,India,Pakistan,37 runs,Multan,17-Dec-82
ODI # 164,Pakistan,India,India,18 runs,Lahore,31-Dec-82
ODI # 165,Australia,New Zealand,Australia,8 wickets,Melbourne,09-Jan-83
ODI # 166,Australia,England,Australia,31 runs,Sydney,11-Jan-83
ODI # 167,England,New Zealand,New Zealand,2 runs,Melbourne,13-Jan-83
ODI # 168,England,New Zealand,England,54 runs,Brisbane,15-Jan-83
ODI # 169,Australia,England,Australia,7 wickets,Brisbane,16-Jan-83
ODI # 170,Australia,New Zealand,New Zealand,47 runs,Sydney,18-Jan-83
ODI # 171,England,New Zealand,England,8 wickets,Sydney,20-Jan-83
ODI # 172,Pakistan,India,Pakistan,8 wickets,Karachi,21-Jan-83
ODI # 173,Australia,New Zealand,New Zealand,58 runs,Melbourne,22-Jan-83
ODI # 174,Australia,England,Australia,5 wickets,Melbourne,23-Jan-83
ODI # 175,Australia,England,England,98 runs,Sydney,26-Jan-83
ODI # 176,England,New Zealand,New Zealand,4 wickets,Adelaide,29-Jan-83
ODI # 177,Australia,England,England,14 runs,Adelaide,30-Jan-83
ODI # 178,Australia,New Zealand,New Zealand,47 runs,Adelaide,31-Jan-83
ODI # 179,England,New Zealand,New Zealand,7 wickets,Perth,05-Feb-83
ODI # 180,Australia,New Zealand,Australia,27 runs,Perth,06-Feb-83
ODI # 181,Australia,New Zealand,Australia,6 wickets,Sydney,09-Feb-83
ODI # 182,Australia,New Zealand,Australia,149 runs,Melbourne,13-Feb-83
ODI # 183,New Zealand,England,New Zealand,6 wickets,Auckland,19-Feb-83
ODI # 184,New Zealand,England,New Zealand,103 runs,Wellington,23-Feb-83
ODI # 185,New Zealand,England,New Zealand,84 runs,Christchurch,26-Feb-83
ODI # 186,New Zealand,Sri Lanka,New Zealand,65 runs,Dunedin,02-Mar-83
ODI # 187,West Indies,India,West Indies,52 runs,Port of Spain,09-Mar-83
ODI # 188,Australia,New Zealand,New Zealand,14 runs,Sydney,17-Mar-83
ODI # 189,New Zealand,Sri Lanka,New Zealand,7 wickets,Napier,19-Mar-83
ODI # 190,New Zealand,Sri Lanka,New Zealand,116 runs,Auckland,20-Mar-83
ODI # 191,West Indies,India,India,27 runs,Albion,29-Mar-83
ODI # 192,West Indies,India,West Indies,7 wickets,St George's,07-Apr-83
ODI # 193,Sri Lanka,Australia,Sri Lanka,2 wickets,Colombo (PSS),13-Apr-83
ODI # 194,Sri Lanka,Australia,Sri Lanka,4 wickets,Colombo (PSS),16-Apr-83
ODI # 195,Sri Lanka,Australia,no result,,Colombo (SSC),29-Apr-83
ODI # 196,Sri Lanka,Australia,no result,,Colombo (SSC),30-Apr-83
ODI # 197,England,New Zealand,England,106 runs,The Oval,09-Jun-83
ODI # 198,Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,09-Jun-83
ODI # 199,Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,09-Jun-83
ODI # 200,India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983"
ODI # 201,England,Sri Lanka,England,47 runs,Taunton,11-Jun-83
ODI # 202,New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983"
ODI # 203,Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983"
ODI # 204,India,Zimbabwe,India,5 wickets,Leicester,11-Jun-83
ODI # 205,England,Pakistan,England,8 wickets,Lord's,13-Jun-83
ODI # 206,New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,13-Jun-83
ODI # 207,Australia,India,Australia,162 runs,Nottingham,13-Jun-83
ODI # 208,West Indies,Zimbabwe,West Indies,8 wickets,Worcester,13-Jun-83
ODI # 209,England,New Zealand,New Zealand,2 wickets,Birmingham,15-Jun-83
ODI # 210,India,West Indies,West Indies,66 runs,The Oval,15-Jun-83
ODI # 211,Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,16-Jun-83
ODI # 212,Australia,Zimbabwe,Australia,32 runs,Southampton,16-Jun-83
ODI # 213,England,Pakistan,England,7 wickets,Manchester,18-Jun-83
ODI # 214,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,18-Jun-83
ODI # 215,Australia,West Indies,West Indies,7 wickets,Lord's,18-Jun-83
ODI # 216,India,Zimbabwe,India,31 runs,Tunbridge Wells,18-Jun-83
ODI # 217,England,Sri Lanka,England,9 wickets,Leeds,20-Jun-83
ODI # 218,New Zealand,Pakistan,Pakistan,11 runs,Nottingham,20-Jun-83
ODI # 219,Australia,India,India,118 runs,Chelmsford,20-Jun-83
ODI # 220,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,20-Jun-83
ODI # 221,England,India,India,6 wickets,Manchester,22-Jun-83
ODI # 222,Pakistan,West Indies,West Indies,8 wickets,The Oval,22-Jun-83
ODI # 223,India,West Indies,India,43 runs,Lord's,25-Jun-83
ODI # 224,India,Pakistan,India,4 wickets,Hyderabad (Deccan),10-Sep-83
ODI # 225,India,Pakistan,India,4 wickets,Jaipur,02-Oct-83
ODI # 226,India,West Indies,West Indies,28 runs,Srinagar,13-Oct-83
ODI # 227,India,West Indies,West Indies,4 wickets,Vadodara,09-Nov-83
ODI # 228,India,West Indies,West Indies,8 wickets,Indore,01-Dec-83
ODI # 229,India,West Indies,West Indies,104 runs,Jamshedpur,07-Dec-83
ODI # 230,India,West Indies,West Indies,6 wickets,Guwahati,17-Dec-83
ODI # 231,Australia,West Indies,West Indies,27 runs,Melbourne,08-Jan-84
ODI # 232,Australia,Pakistan,Australia,34 runs,Sydney,10-Jan-84
ODI # 233,Pakistan,West Indies,Pakistan,97 runs,Melbourne,12-Jan-84
ODI # 234,Pakistan,West Indies,West Indies,5 wickets,Brisbane,14-Jan-84
ODI # 235,Australia,Pakistan,no result,,Brisbane,15-Jan-84
ODI # 236,Australia,West Indies,West Indies,28 runs,Sydney,17-Jan-84
ODI # 237,Pakistan,West Indies,West Indies,5 wickets,Sydney,19-Jan-84
ODI # 238,Australia,Pakistan,Australia,43 runs,Melbourne,21-Jan-84
ODI # 239,Australia,West Indies,West Indies,26 runs,Melbourne,22-Jan-84
ODI # 240,Australia,Pakistan,Australia,87 runs,Sydney,25-Jan-84
ODI # 241,Pakistan,West Indies,West Indies,1 wicket,Adelaide,28-Jan-84
ODI # 242,Australia,West Indies,West Indies,6 wickets,Adelaide,29-Jan-84
ODI # 243,Australia,Pakistan,Australia,70 runs,Adelaide,30-Jan-84
ODI # 244,Pakistan,West Indies,West Indies,7 wickets,Perth,04-Feb-84
ODI # 245,Australia,West Indies,Australia,14 runs,Perth,05-Feb-84
ODI # 246,Australia,West Indies,West Indies,9 wickets,Sydney,08-Feb-84
ODI # 247,Australia,West Indies,tied,,Melbourne,11-Feb-84
ODI # 248,Australia,West Indies,West Indies,6 wickets,Melbourne,12-Feb-84
ODI # 249,New Zealand,England,England,54 runs,Christchurch,18-Feb-84
ODI # 250,New Zealand,England,England,6 wickets,Wellington,22-Feb-84
ODI # 251,New Zealand,England,New Zealand,7 wickets,Auckland,25-Feb-84
ODI # 252,West Indies,Australia,West Indies,8 wickets,Albion,29-Feb-84
ODI # 253,Sri Lanka,New Zealand,New Zealand,104 runs,Colombo (SSC),03-Mar-84
ODI # 254,Pakistan,England,Pakistan,6 wickets,Lahore,09-Mar-84
ODI # 255,West Indies,Australia,Australia,4 wickets,Port of Spain,14-Mar-84
ODI # 256,Pakistan,England,England,6 wickets,Karachi,26-Mar-84
ODI # 257,Sri Lanka,New Zealand,Sri Lanka,41 runs,Moratuwa,31-Mar-84
ODI # 258,Sri Lanka,New Zealand,New Zealand,86 runs,Colombo (PSS),01-Apr-84
ODI # 259,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,06-Apr-84
ODI # 260,India,Sri Lanka,India,10 wickets,Sharjah,08-Apr-84
ODI # 261,India,Pakistan,India,54 runs,Sharjah,13-Apr-84
ODI # 262,West Indies,Australia,West Indies,7 wickets,Castries,19-Apr-84
ODI # 263,West Indies,Australia,West Indies,9 wickets,Kingston,26-Apr-84
ODI # 264,England,West Indies,West Indies,104 runs,Manchester,31-May-84
ODI # 265,England,West Indies,England,3 wickets,Nottingham,02-Jun-84
ODI # 266,England,West Indies,West Indies,8 wickets,Lord's,04-Jun-84
ODI # 267,India,Australia,Australia,48 runs,New Delhi,28-Sep-84
ODI # 268,India,Australia,no result,,Thiruvananthapuram,01-Oct-84
ODI # 269,India,Australia,no result,,Jamshedpur,03-Oct-84
ODI # 270,India,Australia,Australia,7 wickets,Ahmedabad,05-Oct-84
ODI # 271,India,Australia,Australia,6 wickets,Indore,06-Oct-84
ODI # 272,Pakistan,India,Pakistan,46 runs,Quetta,12-Oct-84
ODI # 273,Pakistan,India,no result,,Sialkot,31-Oct-84
ODI # 274,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Colombo (PSS),03-Nov-84
ODI # 275,Sri Lanka,New Zealand,New Zealand,7 wickets,Moratuwa,04-Nov-84
ODI # 276,Pakistan,New Zealand,Pakistan,46 runs,Peshawar,12-Nov-84
ODI # 277,Pakistan,New Zealand,Pakistan,5 runs,Faisalabad,23-Nov-84
ODI # 278,Pakistan,New Zealand,New Zealand,34 runs,Sialkot,02-Dec-84
ODI # 279,India,England,England,4 wickets,Pune,05-Dec-84
ODI # 280,Pakistan,New Zealand,Pakistan,1 wicket,Multan,07-Dec-84
ODI # 281,India,England,England,1 run,Cuttack,27-Dec-84
ODI # 282,Australia,West Indies,West Indies,7 wickets,Melbourne,06-Jan-85
ODI # 283,Australia,Sri Lanka,Australia,6 wickets,Sydney,08-Jan-85
ODI # 284,Sri Lanka,West Indies,West Indies,8 wickets,Hobart,10-Jan-85
ODI # 285,New Zealand,Pakistan,New Zealand,110 runs,Napier,12-Jan-85
ODI # 286,Sri Lanka,West Indies,West Indies,90 runs,Brisbane,12-Jan-85
ODI # 287,Australia,West Indies,West Indies,5 wickets,Brisbane,13-Jan-85
ODI # 288,New Zealand,Pakistan,New Zealand,4 wickets,Hamilton,15-Jan-85
ODI # 289,Australia,West Indies,West Indies,5 wickets,Sydney,15-Jan-85
ODI # 290,Sri Lanka,West Indies,West Indies,65 runs,Sydney,17-Jan-85
ODI # 291,Australia,Sri Lanka,Sri Lanka,4 wickets,Melbourne,19-Jan-85
ODI # 292,Australia,West Indies,West Indies,65 runs,Melbourne,20-Jan-85
ODI # 293,India,England,England,3 wickets,Bengaluru,20-Jan-85
ODI # 294,Australia,Sri Lanka,Australia,3 wickets,Sydney,23-Jan-85
ODI # 295,India,England,India,3 wickets,Nagpur,23-Jan-85
ODI # 296,Sri Lanka,West Indies,West Indies,8 wickets,Adelaide,26-Jan-85
ODI # 297,Australia,West Indies,West Indies,6 wickets,Adelaide,27-Jan-85
ODI # 298,India,England,England,7 runs,Chandigarh,27-Jan-85
ODI # 299,Australia,Sri Lanka,Australia,232 runs,Adelaide,28-Jan-85
ODI # 300,Sri Lanka,West Indies,West Indies,82 runs,Perth,02-Feb-85
ODI # 301,Australia,Sri Lanka,Australia,9 wickets,Perth,03-Feb-85
ODI # 302,New Zealand,Pakistan,New Zealand,13 runs,Christchurch,06-Feb-85
ODI # 303,Australia,West Indies,Australia,26 runs,Sydney,06-Feb-85
ODI # 304,Australia,West Indies,West Indies,4 wickets,Melbourne,10-Feb-85
ODI # 305,Australia,West Indies,West Indies,7 wickets,Sydney,12-Feb-85
ODI # 306,New Zealand,Pakistan,no result,,Auckland,"Feb 16-17, 1985"
ODI # 307,Australia,England,Australia,7 wickets,Melbourne,17-Feb-85
ODI # 308,New Zealand,West Indies,no result,,Sydney,"Feb 19-21, 1985"
ODI # 309,India,Pakistan,India,6 wickets,Melbourne,20-Feb-85
ODI # 310,New Zealand,Sri Lanka,New Zealand,51 runs,Melbourne,23-Feb-85
ODI # 311,Australia,Pakistan,Pakistan,62 runs,Melbourne,24-Feb-85
ODI # 312,England,India,India,86 runs,Sydney,26-Feb-85
ODI # 313,Sri Lanka,West Indies,West Indies,8 wickets,Melbourne,27-Feb-85
ODI # 314,England,Pakistan,Pakistan,67 runs,Melbourne,02-Mar-85
ODI # 315,Australia,India,India,8 wickets,Melbourne,03-Mar-85
ODI # 316,India,New Zealand,India,7 wickets,Sydney,05-Mar-85
ODI # 317,Pakistan,West Indies,Pakistan,7 wickets,Melbourne,06-Mar-85
ODI # 318,New Zealand,West Indies,West Indies,6 wickets,Sydney,09-Mar-85
ODI # 319,India,Pakistan,India,8 wickets,Melbourne,10-Mar-85
ODI # 320,West Indies,New Zealand,West Indies,23 runs,St John's,20-Mar-85
ODI # 321,India,Pakistan,India,38 runs,Sharjah,22-Mar-85
ODI # 322,Australia,England,Australia,2 wickets,Sharjah,24-Mar-85
ODI # 323,England,Pakistan,Pakistan,43 runs,Sharjah,26-Mar-85
ODI # 324,West Indies,New Zealand,West Indies,6 wickets,Port of Spain,27-Mar-85
ODI # 325,Australia,India,India,3 wickets,Sharjah,29-Mar-85
ODI # 326,West Indies,New Zealand,West Indies,130 runs,Albion,14-Apr-85
ODI # 327,West Indies,New Zealand,West Indies,10 wickets,Port of Spain,17-Apr-85
ODI # 328,West Indies,New Zealand,West Indies,112 runs,Bridgetown,23-Apr-85
ODI # 329,England,Australia,Australia,3 wickets,Manchester,30-May-85
ODI # 330,England,Australia,Australia,4 wickets,Birmingham,01-Jun-85
ODI # 331,England,Australia,England,8 wickets,Lord's,03-Jun-85
ODI # 332,Sri Lanka,India,India,2 wickets,Colombo (SSC),25-Aug-85
ODI # 333,Sri Lanka,India,Sri Lanka,14 runs,Colombo (PSS),21-Sep-85
ODI # 334,Sri Lanka,India,no result,,Colombo (PSS),22-Sep-85
ODI # 335,Pakistan,Sri Lanka,Pakistan,8 wickets,Peshawar,13-Oct-85
ODI # 336,Pakistan,Sri Lanka,Pakistan,15 runs,Gujranwala,23-Oct-85
ODI # 337,Pakistan,Sri Lanka,Pakistan,5 wickets,Lahore,25-Oct-85
ODI # 338,Pakistan,Sri Lanka,Pakistan,89 runs,Hyderabad (Sind),03-Nov-85
ODI # 339,Pakistan,West Indies,West Indies,7 wickets,Sharjah,15-Nov-85
ODI # 340,India,Pakistan,Pakistan,48 runs,Sharjah,17-Nov-85
ODI # 341,India,West Indies,West Indies,8 wickets,Sharjah,22-Nov-85
ODI # 342,Pakistan,West Indies,West Indies,8 wickets,Gujranwala,27-Nov-85
ODI # 343,Pakistan,West Indies,Pakistan,6 wickets,Lahore,29-Nov-85
ODI # 344,Pakistan,West Indies,West Indies,40 runs,Peshawar,02-Dec-85
ODI # 345,Pakistan,West Indies,Pakistan,5 wickets,Rawalpindi,04-Dec-85
ODI # 346,Pakistan,West Indies,West Indies,8 wickets,Karachi,06-Dec-85
ODI # 347,Australia,New Zealand,no result,,Melbourne,09-Jan-86
ODI # 348,India,New Zealand,India,5 wickets,Brisbane,11-Jan-86
ODI # 349,Australia,India,Australia,4 wickets,Brisbane,12-Jan-86
ODI # 350,Australia,New Zealand,Australia,4 wickets,Sydney,14-Jan-86
ODI # 351,Australia,India,India,8 wickets,Melbourne,16-Jan-86
ODI # 352,India,New Zealand,New Zealand,3 wickets,Perth,18-Jan-86
ODI # 353,Australia,New Zealand,Australia,4 wickets,Perth,19-Jan-86
