Series/Tournament,Season,Winner,Margin
"Sharjah Cup (Australia, England, India, Pakistan in United Arab Emirates)",1986/87,England,
Reliance World Cup (in India/Pakistan),1987/88,Australia,
Indian Board Benevolent Fund Match (West Indies in India),1987/88,West Indies,1-0 (1)
West Indies in India ODI Series,1987/88,West Indies,6-1 (7)
"Sharjah Cup (India, New Zealand, Sri Lanka in United Arab Emirates)",1987/88,India,
"Champions Trophy (India, Pakistan, West Indies in United Arab Emirates)",1988/89,West Indies,
"Wills Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",1988/89,India,
New Zealand in India ODI Series,1988/89,India,4-0 (4)
India in West Indies ODI Series,1988/89,West Indies,5-0 (5)
"Champions Trophy (India, Pakistan, West Indies in United Arab Emirates)",1989/90,Pakistan,
"MRF World Series (Nehru Cup) (Australia, England, India, Pakistan, Sri Lanka, West Indies in India)",1989/90,Pakistan,
India in Pakistan ODI Series,1989/90,Pakistan,2-0 (3)
"Rothmans Cup Triangular Series (Australia, India, New Zealand in New Zealand)",1989/90,Australia,
"Austral-Asia Cup (Australia, Bangladesh, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates)",1990,Pakistan,
Texaco Trophy (India in England),1990,India,2-0 (2)
Sri Lanka in India ODI Series,1990/91,India,2-1 (3)
"Asia Cup (Bangladesh, India, Sri Lanka in India)",1990/91,India,
"Wills Trophy (India, Pakistan, West Indies in United Arab Emirates)",1991/92,Pakistan,
South Africa in India ODI Series,1991/92,India,2-1 (3)
"Benson & Hedges World Series (Australia, India, West Indies in Australia)",1991/92,Australia,
Benson & Hedges World Cup (in Australia/New Zealand),1991/92,Pakistan,
India in Zimbabwe ODI Match,1992/93,India,1-0 (1)
India in South Africa ODI Series,1992/93,South Africa,5-2 (7)
England in India ODI Series,1992/93,drawn,3-3 (6)
Zimbabwe in India ODI Series,1992/93,India,3-0 (3)
India in Sri Lanka ODI Series,1993,Sri Lanka,2-1 (3)
"C.A.B. Jubilee Tournament (Hero Cup) (India, South Africa, Sri Lanka, West Indies, Zimbabwe in India)",1993/94,India,
Sri Lanka in India ODI Series,1993/94,India,2-1 (3)
India in New Zealand ODI Series,1993/94,drawn,2-2 (4)
"Pepsi Austral-Asia Cup (Australia, India, New Zealand, Pakistan, Sri Lanka, United Arab Emirates in United Arab Emirates)",1993/94,Pakistan,
"Singer World Series (Australia, India, Pakistan, Sri Lanka in Sri Lanka)",1994,India,
"Wills World Series (India, New Zealand, West Indies in India)",1994/95,India,
West Indies in India ODI Series,1994/95,India,4-1 (5)
"New Zealand Centenary Tournament (Australia, India, New Zealand, South Africa)",1994/95,Australia,
"Pepsi Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in United Arab Emirates)",1994/95,India,
New Zealand in India ODI Series,1995/96,India,3-2 (5)
Wills World Cup (in India/Pakistan/Sri Lanka),1995/96,Sri Lanka,
"Singer Cup (India, Pakistan, Sri Lanka in Singapore)",1995/96,Pakistan,
"Pepsi Sharjah Cup (India, Pakistan, South Africa in United Arab Emirates)",1995/96,South Africa,
Texaco Trophy (India in England),1996,England,2-0 (3)
"Singer World Series (Australia, India, Sri Lanka, Zimbabwe in Sri Lanka)",1996,Sri Lanka,
"Sahara 'Friendship' Cup (India, Pakistan in Canada)",1996,Pakistan,3-2 (5)
"Titan Cup (Australia, India, South Africa in India)",1996/97,India,
Mohinder Amarnath Benefit Match (South Africa in India),1996/97,India,
"Standard Bank International One-Day Series (India, South Africa, Zimbabwe in South Africa)",1996/97,South Africa,
India in Zimbabwe ODI Series,1996/97,Zimbabwe,1-0 (1)
India in West Indies ODI Series,1996/97,West Indies,3-1 (4)
"Pepsi Independence Cup (India, New Zealand, Pakistan, Sri Lanka in India)",1997,Sri Lanka,
"Pepsi Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Sri Lanka)",1997,Sri Lanka,
India in Sri Lanka ODI Series,1997,Sri Lanka,3-0 (3)
"Sahara 'Friendship' Cup (India, Pakistan in Canada)",1997,India,4-1 (5)
India in Pakistan ODI Series,1997/98,Pakistan,2-1 (3)
"Akai-Singer Champions Trophy (England, India, Pakistan, West Indies in United Arab Emirates)",1997/98,England,
Sri Lanka in India ODI Series,1997/98,drawn,1-1 (3)
"Silver Jubilee Independence Cup (Bangladesh, India, Pakistan in Bangladesh)",1997/98,India,
"Pepsi Triangular Series (Australia, India, Zimbabwe in India)",1997/98,Australia,
"Coca-Cola Cup (Australia, India, New Zealand in United Arab Emirates)",1997/98,India,
"Coca-Cola Triangular Series (Bangladesh, India, Kenya in India)",1998,India,
"Singer-Akai Nidahas Trophy (India, New Zealand, Sri Lanka in Sri Lanka)",1998,India,
"Sahara 'Friendship' Cup (India, Pakistan in Canada)",1998,Pakistan,4-1 (5)
India in Zimbabwe ODI Series,1998/99,India,2-1 (3)
Wills International Cup (in Bangladesh),1998/99,South Africa,
"Coca-Cola Champions Trophy (India, Sri Lanka, Zimbabwe in United Arab Emirates)",1998/99,India,
India in New Zealand ODI Series,1998/99,drawn,2-2 (5)
"Pepsi Cup (India, Pakistan, Sri Lanka in India)",1998/99,Pakistan,
"Coca-Cola Cup (England, India, Pakistan in United Arab Emirates)",1998/99,Pakistan,
ICC World Cup (in England/Ireland/Netherlands/Scotland),1999,Australia,
"Aiwa Cup (Australia, India, Sri Lanka in Sri Lanka)",1999,Sri Lanka,
"Coca-Cola Singapore Challenge (India, West Indies, Zimbabwe in Singapore)",1999,West Indies,
"DMC Cup (India, West Indies in Canada)",1999,India,2-1 (3)
"LG Cup (India, Kenya, South Africa, Zimbabwe in Kenya)",1999/00,South Africa,
New Zealand in India ODI Series,1999/00,India,3-2 (5)
"Carlton & United Series (Australia, India, Pakistan in Australia)",1999/00,Australia,
South Africa in India ODI Series,1999/00,India,3-2 (5)
"Coca-Cola Cup (India, Pakistan, South Africa in United Arab Emirates)",1999/00,Pakistan,
"Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",2000,Pakistan,
ICC KnockOut (in Kenya),2000/01,New Zealand,
"Coca-Cola Champions Trophy (India, Sri Lanka, Zimbabwe in United Arab Emirates)",2000/01,Sri Lanka,
Zimbabwe in India ODI Series,2000/01,India,4-1 (5)
Australia in India ODI Series,2000/01,Australia,3-2 (5)
"Coca-Cola Cup (Zimbabwe) (India, West Indies, Zimbabwe in Zimbabwe)",2001,West Indies,
"Coca-Cola Cup (Sri Lanka) (India, New Zealand, Sri Lanka in Sri Lanka)",2001,Sri Lanka,
"Standard Bank Triangular Tournament (India, Kenya, South Africa in South Africa)",2001/02,South Africa,
England in India ODI Series,2001/02,drawn,3-3 (6)
Zimbabwe in India ODI Series,2001/02,India,3-2 (5)
India in West Indies ODI Series,2002,India,2-1 (5)
"NatWest Series (England, India, Sri Lanka in England)",2002,India,
ICC Champions Trophy (in Sri Lanka),2002/03,shared,
West Indies in India ODI Series,2002/03,West Indies,4-3 (7)
India in New Zealand ODI Series,2002/03,New Zealand,5-2 (7)
ICC World Cup (in Kenya/South Africa/Zimbabwe),2002/03,Australia,
"TVS Cup (Bangladesh) (Bangladesh, India, South Africa in Bangladesh)",2003,shared,
"TVS Cup (India) (Australia, India, New Zealand in India)",2003/04,Australia,
"VB Series (Australia, India, Zimbabwe in Australia)",2003/04,Australia,
India in Pakistan ODI Series,2003/04,India,3-2 (5)
"Asia Cup (Bangladesh, Hong Kong, India, Pakistan, Sri Lanka, United Arab Emirates in Sri Lanka)",2004,Sri Lanka,
"Videocon Cup (Australia, India, Pakistan in Netherlands)",2004,Australia,
"NatWest Challenge (England, India, Wales in England)",2004,England,2-1 (3)
ICC Champions Trophy (in England),2004,West Indies,
BCCI Platinum Jubilee Match (Pakistan in India),2004/05,Pakistan,
India in Bangladesh ODI Series,2004/05,India,2-1 (3)
Pakistan in India ODI Series,2004/05,Pakistan,4-2 (6)
"Indian Oil Cup (India, Sri Lanka, West Indies in Sri Lanka)",2005,Sri Lanka,
"Videocon Triangular Series (India, New Zealand, Zimbabwe in Zimbabwe)",2005,New Zealand,
Sri Lanka in India ODI Series,2005/06,India,6-1 (7)
South Africa in India ODI Series,2005/06,drawn,2-2 (5)
India in Pakistan ODI Series,2005/06,India,4-1 (5)
England in India ODI Series,2005/06,India,5-1 (7)
"DLF Cup (India, Pakistan in United Arab Emirates)",2005/06,drawn,1-1 (2)
India in West Indies ODI Series,2006,West Indies,4-1 (5)
India in Sri Lanka ODI Series,2006,drawn,0-0 (3)
"Unitech Cup (India, South Africa, Sri Lanka in Sri Lanka)",2006,abandoned,
"DLF Cup (Australia, India, West Indies in Malaysia)",2006/07,Australia,
ICC Champions Trophy (in India),2006/07,Australia,
India in South Africa ODI Series,2006/07,South Africa,4-0 (5)
West Indies in India ODI Series,2006/07,India,3-1 (4)
Sri Lanka in India ODI Series,2006/07,India,2-1 (4)
ICC World Cup (in West Indies),2006/07,Australia,
India in Bangladesh ODI Series,2007,India,2-0 (3)
India in Ireland ODI Match,2007,India,1-0 (1)
"Future Cup (India, South Africa in Ireland)",2007,India,2-1 (3)
"Future Friendship Cup (India, Pakistan in Scotland)",2007,abandoned,0-0 (1)
India in Scotland ODI Match,2007,India,1-0 (1)
NatWest Series [India in England],2007,England,4-3 (7)
Australia in India ODI Series,2007/08,Australia,4-2 (7)
Pakistan in India ODI Series,2007/08,India,3-2 (5)
"Commonwealth Bank Series (Australia, India, Sri Lanka in Australia)",2007/08,India,
"Kitply Cup (Bangladesh, India, Pakistan in Bangladesh)",2008,Pakistan,
"Asia Cup (Bangladesh, Hong Kong, India, Pakistan, Sri Lanka, United Arab Emirates in Pakistan)",2008,Sri Lanka,
India in Sri Lanka ODI Series,2008,India,3-2 (5)
England in India ODI Series,2008/09,India,5-0 (5)
India in Sri Lanka ODI Series,2008/09,India,4-1 (5)
India in New Zealand ODI Series,2008/09,India,3-1 (5)
India in West Indies ODI Series,2009,India,2-1 (4)
"Compaq Cup (India, New Zealand, Sri Lanka in Sri Lanka)",2009,India,
ICC Champions Trophy (in South Africa),2009/10,Australia,
Australia in India ODI Series,2009/10,Australia,4-2 (7)
Sri Lanka in India ODI Series,2009/10,India,3-1 (5)
Tri-Nation Tournament in Bangladesh,2009/10,Sri Lanka,
South Africa in India ODI Series,2009/10,India,2-1 (3)
"Zimbabwe Triangular Series (India, Sri Lanka, Zimbabwe)",2010,Sri Lanka,
"Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Sri Lanka)",2010,India,
"Sri Lanka Triangular Series (India, New Zealand, Sri Lanka)",2010,Sri Lanka,
Australia in India ODI Series,2010/11,India,1-0 (3)
New Zealand in India ODI Series,2010/11,India,5-0 (5)
India in South Africa ODI Series,2010/11,South Africa,3-2 (5)
ICC Cricket World Cup (in Bangladesh/India/Sri Lanka),2010/11,India,
India in West Indies ODI Series,2011,India,3-2 (5)
NatWest Series [India in England],2011,England,3-0 (5)
England in India ODI Series,2011/12,India,5-0 (5)
West Indies in India ODI Series,2011/12,India,4-1 (5)
"Commonwealth Bank Series (Australia, India, Sri Lanka in Australia)",2011/12,Australia,
"Asia Cup (Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",2011/12,Pakistan,
India in Sri Lanka ODI Series,2012,India,4-1 (5)
Pakistan in India ODI Series,2012/13,Pakistan,2-1 (3)
England in India ODI Series,2012/13,India,3-2 (5)
ICC Champions Trophy (in England),2013,India,
"West Indies Tri-Nation Series (India, Sri Lanka, West Indies)",2013,India,
India in Zimbabwe ODI Series,2013,India,5-0 (5)
Australia in India ODI Series,2013/14,India,3-2 (7)
West Indies in India ODI Series,2013/14,India,2-1 (3)
India in South Africa ODI Series,2013/14,South Africa,2-0 (3)
India in New Zealand ODI Series,2013/14,New Zealand,4-0 (5)
"Asia Cup (Afghanistan, Bangladesh, India, Pakistan, Sri Lanka in Bangladesh)",2013/14,Sri Lanka,
India in Bangladesh ODI Series,2014,India,2-0 (3)
India in England ODI Series,2014,India,3-1 (5)
West Indies in India ODI Series,2014/15,India,2-1 (5)
Sri Lanka in India ODI Series,2014/15,India,5-0 (5)
"Carlton Mid One-Day International Tri-Series (Australia, England, India in Australia)",2014/15,Australia,
ICC Cricket World Cup (in Australia/New Zealand),2014/15,Australia,
India in Bangladesh ODI Series,2015,Bangladesh,2-1 (3)
India in Zimbabwe ODI Series,2015,India,3-0 (3)
South Africa in India ODI Series,2015/16,South Africa,3-2 (5)
India in Australia ODI Series,2015/16,Australia,4-1 (5)
India in Zimbabwe ODI Series,2016,India,3-0 (3)
New Zealand in India ODI Series,2016/17,India,3-2 (5)
England in India ODI Series,2016/17,India,2-1 (3)
ICC Champions Trophy (in England),2017,Pakistan,
India in West Indies ODI Series,2017,India,3-1 (5)
India in Sri Lanka ODI Series,2017,India,5-0 (5)
Australia in India ODI Series,2017/18,India,4-1 (5)
New Zealand in India ODI Series,2017/18,India,2-1 (3)
Sri Lanka in India ODI Series,2017/18,India,2-1 (3)
India in South Africa ODI Series,2017/18,India,5-1 (6)
India in England ODI Series,2018,England,2-1 (3)
"Asia Cup (Afghanistan, Bangladesh, Hong Kong, India, Pakistan, Sri Lanka in United Arab Emirates)",2018,India,
West Indies in India ODI Series,2018/19,India,3-1 (5)
India in Australia ODI Series,2018/19,India,2-1 (3)
India in New Zealand ODI Series,2018/19,India,4-1 (5)
"
   By default, the shading indicates records from the past week, or failing that, the most recent entry.
  ",,,
"
Adjust:
most recent
   | past week
   | past month
   | past 6 months
   | past year
   | 4 years
   | 10 years
   | 25 years
",,,
"
Records includes the following current or recent matches:
",,,
"
New Zealand v India at Wellington, 5th ODI, Feb 3, 2019
[ODI # 4092]
",,,
"
New Zealand v India at Hamilton, 4th ODI, Jan 31, 2019
[ODI # 4091]
",,,
"
New Zealand v India at Mount Maunganui, 3rd ODI, Jan 28, 2019
[ODI # 4088]
",,,
